Content,Video title,Video publish time,Duration,Stayed to watch (%),Views
Total,,,,33.41,6620
c0hqgb1x924,Can You Name All 3 Dinosaurs From the Shadow? 🦕 #shorts #shortvideo  #animatedexplainer #dinosaur,"Jul 15, 2026",32,15.76,1568
6MzW11df67w,What If Every Water Source Lost 1% Percent a Day? #animatedexplainer #shorts #shortvideo,"Jul 11, 2026",37,56.01,1130
9DfYYTS7ub0,What If Earth's Atmosphere Lost 1% of Its Oxygen? #animatedexplainer #shorts #shortvideo,"Jul 8, 2026",48,31.45,1120
Ts1QHxLBrDI,Why Earth Is Suspiciously Perfect For Life #shorts #earth #space #astrology #shortvideo,"Jul 12, 2026",52,65.45,898
R9mJeHL1ET0,Can You Name All 3 Planets From a Close-Up? 🪐 #shorts #gaming #astrology,"Jul 13, 2026",31,18.33,627
EW4YkI5tIi4,The Bridge That Fell to a Matching Band #animatedexplainer #shorts #shortvideo,"Jun 29, 2026",39,39.51,354
Nyz4X-Sdy8o,Guess all three ocean animals from their shadows #shorts #shortvideo  #animatedexplainer #quiz,"Jul 16, 2026",32,15.85,308
g51TJ0Y8ltI,Why sharks Are older than Trees #animatedexplainer #shorts #shortvideo,"Jun 28, 2026",41,37.19,205
QbAtr75-EuA,Can You Guess All 3 Animals From Their Shadows? 🫣 #trivia #shorts #animals #gameshorts,"Jul 13, 2026",31,19.77,83
Ny28lQV0RLQ,Why do your fingers wrinkle? #shortvideo #shorts  #whatif #animatedexplainer,"Jul 17, 2026",43,27.45,53
VQK8lgpKzw0,Quantum Entanglement  Explained Simply #animatedexplainer #scienceexplained #technologyexplained,"Jun 21, 2026",90,56.82,44
J3nL_qtPqNg,What If You Never Blinked #animatedexplainer #shorts #viral  #shortvideo,"Jul 15, 2026",48,35.71,41
gyabEO4fEdY,What If Your Eyes Got 1% Better Every Second? #animatedexplainer #shorts #shortvideo,"Jul 10, 2026",55,25.58,39
J0fDxAL-G4A,Why Chernobyl Firefighters Got Lead Coffins? #Chernobyl #NuclearPhysics #ScienceExplained #shorts,"Jul 2, 2026",53,42.86,30
MKCpP1UDC-8,What If You Shrank 1cm Every Second? #animatedexplainer #shorts,"Jul 9, 2026",57,57.14,27
qKRc8_-H2QY,The Sound That Can Kill You And It's Below Human Hearing #animatedexplainer #shorts,"Jun 30, 2026",70,66.67,17
bVUCf3Yn2dg,Why This Lake Turns Animals Into Stone  #animatedexplainer #shorts #shortvideo,"Jun 30, 2026",47,42.86,14
1JP4Kqv2Yh8,The Lies Your Brain Tells To Protect You #scienceexplained #animatedexplainer #psychologyfacts,"Jun 23, 2026",36,41.67,13
AFGiDP7_N_8,What If Gravity Weakened by 0.5% #shortvideo #shorts,"Jul 5, 2026",47,41.67,11
oG_7pWcl9Xg,Your Phone Knows You're Pregnant Before You Do #animatedexplainer #artificialintelligence #pregnancy,"Jun 30, 2026",41,75,8
tEd1zllXVt8,Invisible Waves Are Passing Through Your Body Right Now #technologyexplained #wifiexplained,"Jun 23, 2026",39,25,8
8EEsPUeBRn4,What If Light Traveled 1% Slower? #animatedexplainer #shorts #shortvideo,"Jul 10, 2026",51,60,5
kJlI3eOkO7w,Why Won t Uncooked Spaghetti Snap In Two #SpaghettiPhysics #shorts,"Jul 2, 2026",42,75,5
YXH9ZI8yKJk,Why Did Neanderthals Have Bigger Brains Than Us? #animatedexplainer #shorts #shortvideo,"Jun 30, 2026",52,50,5
Aala-6SmmnE,Why Hot Water Freezes Faster  Mpemba #animatedexplainer #shorts,"Jul 2, 2026",45,0,3
QBWZSSTGsVQ,Why 3000 Year Old Honey Still Tastes Sweet,"Jun 28, 2026",41,25,3
laAOZGZJz1w,Whose Teeth Were In Washington's Mouth #animatedexplainer #technology #shorts,"Jul 4, 2026",47,50,1
